name,MARKA,KOLEKSIYON,price,price_category,CINSIYET,MEKANIZMA,KASA MATERYALI,case_material_category,KASA ÇAPI,SU REZISTANSI,water_resistance_category,brand_country,brand_age,collection_price_tier,url,image,page,scraped_at,AILE,GARANTI SÜRESI,GÜÇ REZERVI,KADRAN,KAYIŞ,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,REFERANS,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Seamaster Aqua Terra 150M,Omega,Seamaster,570400.0,Ultra-Luxury,Kadın,Otomatik,Çelik Altın,Gold,30mm,150m,Swimming,Switzerland,176.0,Ultra-Luxury Collection,https://samiwatches.com/urun/omega-seamaster-aqua-terra-150m-220-20-30-20-63-001/,https://samiwatches.com/wp-content/uploads/2025/06/220.20.30.20.63.001-1-400x533.jpg,1,2025-10-06T03:47:26.538663,Aqua Terra,5 Yıl,48 Saat,Kahverengi,Çelik Altın,Seamaster Aqua Terra 150M,570.400₺,220.20.30.20.63.001,1848.0,513525.72,401600.0,458838.5,140.0,0.11075256,0.84970057,0.3987687,False,59.0,Yüzme (50m),Lüks,30.0,Küçük (<36mm),Çok Prestijli
Big Bang One Click Joyful Steel Pink,Hublot,Big Bang,670800.0,Ultra-Luxury,Kadın,Otomatik,Paslanmaz Çelik,Steel,33mm,100m,Water Resistant,Switzerland,44.0,Ultra-Luxury Collection,https://samiwatches.com/urun/big-bang-one-click-joyful-steel-pink-485-sp-2210-rx-1233/,https://samiwatches.com/wp-content/uploads/2025/08/485.SP_.2210.RX_.1233-1-400x533.jpg,1,2025-10-06T03:47:37.092513,,2 Yıl,40 Saat,Beyaz,Kauçuk,Big Bang One Click Joyful Steel Pink,670.800₺,485.SP.2210.RX.1233,1980.0,842739.1,681200.0,419912.2,92.0,-0.20402415,0.8817365,0.58045566,False,43.0,Snorkeling (100m),Lüks,33.0,Küçük (<36mm),Çok Prestijli
Conquest Heritage,Longines,Watchmaking Tradition,159000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,50m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/conquest-heritagel1-650-4-02-6/,https://samiwatches.com/wp-content/uploads/2025/09/L1.650.4.02.6-1-400x533.jpg,1,2025-10-06T03:47:46.265356,Conquest Heritage,5 Yıl,72 Saat,Yeşil,Paslanmaz Çelik,Conquest Heritage,159.000₺,L1.650.4.02.6,1832.0,134676.78,131000.0,52081.965,267.0,0.18060441,0.45688623,-0.34571356,False,54.0,Yüzme (50m),Orta Segment,40.0,Orta (36-40mm),Orta Prestij
Ultra-Chron Classic,Longines,Diving,178000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,50m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/ultra-chron-classic-l2-937-4-72-2/,https://samiwatches.com/wp-content/uploads/2025/10/L2.937.4.72.2-1-400x533.jpg,1,2025-10-06T03:47:57.635780,Ultra-Chron,5 Yıl,52 Saat,Gümüş,Krokodil,Ultra-Chron Classic,178.000₺,L2.937.4.72.2,1832.0,134676.78,131000.0,52081.965,267.0,0.32168293,0.50898206,-0.31133056,False,49.0,Yüzme (50m),Premium,40.0,Orta (36-40mm),Orta Prestij
Clifton,Baume & Mercier,Clifton,131200.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,39mm,50m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/clifton-10773/,https://samiwatches.com/wp-content/uploads/2025/09/10773-1-400x533.jpg,1,2025-10-06T03:48:06.742699,,8 Yıl,120 Saat,Beyaz,Deri,Clifton,131.200₺,10773,1830.0,126401.04,120200.0,54582.965,96.0,0.03796613,0.37964073,-0.3960213,False,16.0,Yüzme (50m),Orta Segment,39.0,Orta (36-40mm),Orta Prestij
Superocean,Breitling,Superocean,252200.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,300m,Diving,Switzerland,140.0,Premium Collection,https://samiwatches.com/urun/superocean-a17375e71c1s1/,https://samiwatches.com/wp-content/uploads/2025/08/A17375E71C1S1-1-400x533.jpg,1,2025-10-06T03:48:17.358477,,2 Yıl,38 Saat,Mavi,Kauçuk,Superocean,252.200₺,A17375E71C1S1,1884.0,344131.2,317200.0,114878.734,125.0,-0.26713997,0.605988,-0.17705593,False,15.0,Profesyonel Dalış (300m+),Premium,42.0,Büyük (40-44mm),Prestijli
Fleurier Collection 19Thirty 10th Anniversary,Bovet,Fleurier,1.3884e+06,Ultra-Luxury,Erkek,Elle Kurmalı,Paslanmaz Çelik,Steel,42mm,30m,Splash Resistant,Unknown,,Ultra-Luxury Collection,https://samiwatches.com/urun/fleurier-collection-19thirty-10th-anniversary-nts0118/,https://samiwatches.com/wp-content/uploads/2025/09/NTS0118-1-1-400x533.jpg,1,2025-10-06T03:48:28.249887,,5 Yıl,168 Saat,Yeşil,Deri,Fleurier Collection 19Thirty 10th Anniversary,1.388.400₺,NTS0118,,2.4870858e+06,1.9188e+06,1.7304225e+06,7.0,-0.44175628,0.9631736,1.879047,False,5.0,Günlük Kullanım (30m),Ultra Lüks,42.0,Büyük (40-44mm),Ultra Prestijli
Luminor Tre Giorni Luna Rossa,Panerai,Luminor,320700.0,Luxury,Erkek,Elle Kurmalı,Paslanmaz Çelik,Steel,44mm,100m,Water Resistant,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/luminor-tre-giorni-luna-rossa-pam01653/,https://samiwatches.com/wp-content/uploads/2025/07/PAM01653-1-400x533.jpg,1,2025-10-06T03:48:38.742719,,8 Yıl,72 Saat,Gri,Kauçuk,Luminor Tre Giorni Luna Rossa,320.700₺,PAM01653,1860.0,649664.06,473800.0,466149.7,89.0,-0.50636023,0.6796407,-0.053096194,False,37.0,Snorkeling (100m),Premium,44.0,Büyük (40-44mm),Çok Prestijli
Primaluna Moonphase,Longines,Elegance,314000.0,Luxury,Kadın,Otomatik,Paslanmaz Çelik,Steel,34mm,30m,Splash Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/primaluna-moonphase-l8-126-0-97-2/,https://samiwatches.com/wp-content/uploads/2025/09/L8.126.0.97.2-1-400x533.jpg,1,2025-10-06T03:48:47.726175,PrimaLuna,5 Yıl,72 Saat,Mavi,Krokodil,Primaluna Moonphase,314.000₺,L8.126.0.97.2,1832.0,134676.78,131000.0,52081.965,267.0,1.331508,0.6694611,-0.06522072,False,69.0,Günlük Kullanım (30m),Premium,34.0,Küçük (<36mm),Orta Prestij
Ultra-Chron Classic,Longines,Diving,183000.0,Mid-Range,"Erkek, Kadın",Otomatik,Paslanmaz Çelik,Steel,37mm,50m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/ultra-chron-classic-l2-537-4-72-6/,https://samiwatches.com/wp-content/uploads/2025/10/L2.537.4.72.6-3-400x533.jpg,1,2025-10-06T03:48:58.016680,Ultra-Chron,5 Yıl,52 Saat,Gümüş,Paslanmaz Çelik,Ultra-Chron Classic,183.000₺,L2.537.4.72.6,1832.0,134676.78,131000.0,52081.965,267.0,0.35880885,0.5176647,-0.3022824,False,49.0,Yüzme (50m),Premium,37.0,Orta (36-40mm),Orta Prestij
Formula 1 Solargraph,Tag Heuer,Formula 1,91000.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,38mm,100m,Water Resistant,Unknown,,Premium Collection,https://samiwatches.com/urun/formula-1-solargraph-wby1161-ft8086/,https://samiwatches.com/wp-content/uploads/2025/09/WBY1161.FT8086-1-400x533.jpg,1,2025-10-06T03:49:06.413708,,2 Yıl,,Beyaz,Kauçuk,Formula 1 Solargraph,91.000₺,WBY1161.FT8086,,219025.56,179400.0,138288.27,133.0,-0.5845234,0.2505988,-0.46876848,False,38.0,Snorkeling (100m),Ekonomik,38.0,Orta (36-40mm),Prestijli
Classima,Baume & Mercier,Classima,151600.0,Mid-Range,Erkek,Elle Kurmalı,Paslanmaz Çelik,Steel,42mm,50m,Water Resistant,Switzerland,194.0,Entry Collection,https://samiwatches.com/urun/classima-10735/,https://samiwatches.com/wp-content/uploads/2025/09/10735-1-400x533.jpg,1,2025-10-06T03:49:16.761378,,2 Yıl,46 Saat,Mavi,Tekstil,Classima,151.600₺,10735,1830.0,126401.04,120200.0,54582.965,96.0,0.19935721,0.43473053,-0.3591048,False,19.0,Yüzme (50m),Orta Segment,42.0,Büyük (40-44mm),Orta Prestij
Big Bang One Click Joyful Steel Orange,Hublot,Big Bang,670800.0,Ultra-Luxury,Kadın,Otomatik,Paslanmaz Çelik,Steel,33mm,100m,Water Resistant,Switzerland,44.0,Ultra-Luxury Collection,https://samiwatches.com/urun/big-bang-one-click-joyful-steel-orange-485-so-2210-rx-1206/,https://samiwatches.com/wp-content/uploads/2025/08/485.SO_.2210.RX_.1206-1-400x533.jpg,1,2025-10-06T03:49:27.542645,,2 Yıl,40 Saat,Beyaz,Kauçuk,Big Bang One Click Joyful Steel Orange,670.800₺,485.SO.2210.RX.1206,1980.0,842739.1,681200.0,419912.2,92.0,-0.20402415,0.8817365,0.58045566,False,43.0,Snorkeling (100m),Lüks,33.0,Küçük (<36mm),Çok Prestijli
Superocean Heritage B01 Chronograph,Breitling,Superocean Heritage,491400.0,Luxury,Erkek,Otomatik,Çelik Altın,Gold,42mm,200m,Swimming,Switzerland,140.0,Luxury Collection,https://samiwatches.com/urun/superocean-heritage-b01-chronograph-ub0156h11b1s1/,https://samiwatches.com/wp-content/uploads/2025/08/UB0156H11B1S1-1-400x533.jpg,1,2025-10-06T03:49:37.993551,,5 Yıl,70 Saat,Siyah,Kauçuk,Superocean Heritage B01 Chronograph,491.400₺,UB0156H11B1S1,1884.0,344131.2,317200.0,114878.734,125.0,0.42794377,0.80958086,0.25580785,False,29.0,Dalış (200m),Lüks,42.0,Büyük (40-44mm),Prestijli
Clifton,Baume & Mercier,Clifton,135900.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,39mm,50m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/clifton-10792/,https://samiwatches.com/wp-content/uploads/2025/09/10792-1-400x533.jpg,1,2025-10-06T03:49:46.753477,,8 Yıl,120 Saat,Mavi,Paslanmaz Çelik,Clifton,135.900₺,10792,1830.0,126401.04,120200.0,54582.965,96.0,0.075149365,0.3961078,-0.38751602,False,16.0,Yüzme (50m),Orta Segment,39.0,Orta (36-40mm),Orta Prestij
Endurance Pro,Breitling,Professional,174200.0,Mid-Range,Erkek,Pilli,Karbon,Carbon,44mm,100m,Water Resistant,Switzerland,140.0,Premium Collection,https://samiwatches.com/urun/endurance-pro-x82310a51b1s2/,https://samiwatches.com/wp-content/uploads/2025/08/X82310A51B1S2-1-400x533.jpg,1,2025-10-06T03:49:55.355670,,2 Yıl,,Siyah,Kauçuk,Endurance Pro,174.200₺,X82310A51B1S2,1884.0,344131.2,317200.0,114878.734,125.0,-0.49379772,0.5023952,-0.31820714,False,15.0,Snorkeling (100m),Orta Segment,44.0,Büyük (40-44mm),Prestijli
Conquest Heritage,Longines,Watchmaking Tradition,159000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,50m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/conquest-heritage-l1-650-4-92-6/,https://samiwatches.com/wp-content/uploads/2025/09/L1.650.4.92.6-1-400x533.jpg,1,2025-10-06T03:50:06.001036,Conquest Heritage,5 Yıl,72 Saat,Mavi,Paslanmaz Çelik,Conquest Heritage,159.000₺,L1.650.4.92.6,1832.0,134676.78,131000.0,52081.965,267.0,0.18060441,0.45688623,-0.34571356,False,54.0,Yüzme (50m),Orta Segment,40.0,Orta (36-40mm),Orta Prestij
Pioneer Centre Seconds Sunny-Side Up,H. Moser & Cie.,Pioneer,780000.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,120m,Swimming,Unknown,,Ultra-Luxury Collection,https://samiwatches.com/urun/pioneer-centre-seconds-sunny-side-up-3201-1200/,https://samiwatches.com/wp-content/uploads/2025/07/3201-1200-1-400x533.jpg,1,2025-10-06T03:50:14.718101,,2 Yıl,72 Saat,Sarı,Kauçuk,Pioneer Centre Seconds Sunny-Side Up,780.000₺,3201-1200,,2.2611332e+06,1.456e+06,1.553869e+06,24.0,-0.65504026,0.9026946,0.7780674,False,7.0,Diğer,Ultra Lüks,40.0,Orta (36-40mm),Ultra Prestijli
Pilot Big Date Flyback,Zenith,Diğer Koleksiyonlar,664000.0,Ultra-Luxury,"Erkek, Kadın",Otomatik,Paslanmaz Çelik,Steel,42.5mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-pilot-big-date-flyback-03-4000-3652-21-i001/,https://samiwatches.com/wp-content/uploads/2023/11/03.4000.3652.21.I001-1-scaled-300x400.webp,1,2025-10-06T03:50:25.469336,,2 Yıl,60 Saat,Siyah,Deri,Pilot Big Date Flyback,664.000₺,03.4000.3652/21.I001,1865.0,899523.5,634400.0,777656.8,34.0,-0.26183143,0.8781437,0.56815016,False,2.0,Snorkeling (100m),Lüks,42.5,Büyük (40-44mm),Çok Prestijli
Riviera,Baume & Mercier,Riviera,120200.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,100m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/baume-mercier-riviera-10768/,https://samiwatches.com/wp-content/uploads/2025/02/10768-1-300x400.webp,1,2025-10-06T03:50:36.086986,,2 Yıl,38 Saat,Mavi,Kauçuk,Riviera,120.200₺,10768,1830.0,126401.04,120200.0,54582.965,96.0,-0.04905847,0.34371257,-0.41592723,False,45.0,Snorkeling (100m),Orta Segment,42.0,Büyük (40-44mm),Orta Prestij
Clifton,Baume & Mercier,Clifton,131200.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,39mm,50m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/baume-mercier-clifton-10778/,https://samiwatches.com/wp-content/uploads/2025/04/10778-1-300x400.webp,1,2025-10-06T03:50:48.601179,,8 Yıl,120 Saat,Somon,Deri,Clifton,131.200₺,10778,1830.0,126401.04,120200.0,54582.965,96.0,0.03796613,0.37964073,-0.3960213,False,16.0,Yüzme (50m),Orta Segment,39.0,Orta (36-40mm),Orta Prestij
Spirit Zulu Time,Longines,Avigation,167000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,100m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/spirit-zulu-time-l3-812-4-50-6/,https://samiwatches.com/wp-content/uploads/2025/08/L3.812.4.50.6-1-400x533.jpg,1,2025-10-06T03:50:59.500857,Spirit,5 Yıl,72 Saat,Siyah,Paslanmaz Çelik,Spirit Zulu Time,167.000₺,L3.812.4.50.6,1832.0,134676.78,131000.0,52081.965,267.0,0.2400059,0.48862275,-0.3312365,False,36.0,Snorkeling (100m),Orta Segment,42.0,Büyük (40-44mm),Orta Prestij
Classima,Baume & Mercier,Classima,76300.0,Budget,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,50m,Water Resistant,Switzerland,194.0,Entry Collection,https://samiwatches.com/urun/classima-10608/,https://samiwatches.com/wp-content/uploads/2025/09/10608-1-400x533.jpg,1,2025-10-06T03:51:10.396574,,2 Yıl,38 Saat,Gri,Tekstil,Classima,76.300₺,10608,1830.0,126401.04,120200.0,54582.965,96.0,-0.39636573,0.21586826,-0.49537006,False,19.0,Yüzme (50m),Ekonomik,42.0,Büyük (40-44mm),Orta Prestij
Serpenti Seduttori,Bvlgari,Serpenti,1.187e+06,Ultra-Luxury,Kadın,Pilli,Altın,Gold,33mm,30m,Splash Resistant,Italy,140.0,Ultra-Luxury Collection,https://samiwatches.com/urun/serpenti-seduttori-103145/,https://samiwatches.com/wp-content/uploads/2025/09/103145-1-400x533.jpg,1,2025-10-06T03:51:21.429645,,5 Yıl,,Beyaz,Altın,Serpenti Seduttori,1.187.000₺,103145,1884.0,514079.38,416000.0,402732.22,63.0,1.308982,0.94550896,1.5145873,False,11.0,Günlük Kullanım (30m),Ultra Lüks,33.0,Küçük (<36mm),Çok Prestijli
